id,name,alias,created_at,updated_at,model,group,is_popular,is_moderated,added_by_user_id,connector_ids/0,connector_ids/1,connector_ids/2,connector_ids/3,connector_ids/4,connector_ids/5,connector_ids/6,connector_ids/7,connector_ids/8,connector_ids/9,connector_ids/10,connector_ids/11
213,Kia XCeed Plug-In Hybrid 2020,kia_xceed_plug-in_hybrid_2020,2022-04-20T11:35:30.457+02:00,2022-04-20T11:38:12.200+02:00,XCeed Plug-In Hybrid 2020,Kia,false,true,,18,17,16,7,,,,,,,,
214,DS 3 Crossback E-Tense,ds_3_crossback_e-tense,2022-04-20T11:35:30.459+02:00,2022-04-20T11:38:12.201+02:00,3 Crossback E-Tense,DS,false,true,,7,16,2,17,15,18,,,,,,
215,Mazda MX-30,mazda_mx-30,2022-04-20T11:35:30.460+02:00,2022-04-20T11:38:12.202+02:00,MX-30,Mazda,false,true,,4,7,16,2,17,15,18,,,,,
216,Volvo V60 Recharge Plug-In Hybrid 2020,volvo_v60_recharge_plug-in_hybrid_2020,2022-04-20T11:35:30.462+02:00,2022-04-20T11:38:12.203+02:00,V60 Recharge Plug-In Hybrid 2020,Volvo,false,true,,4,7,16,17,15,18,,,,,,
217,BMW X1 xDrive25e Plug-In Hybrid 2020,bmw_x1_xdrive25e_plug-in_hybrid_2020,2022-04-20T11:35:30.463+02:00,2022-04-20T11:38:12.204+02:00,X1 xDrive25e Plug-In Hybrid 2020,BMW,false,true,,7,14,16,17,15,18,,,,,,
218,BMW X2 xDrive25e Plug-In Hybrid 2020,bmw_x2_xdrive25e_plug-in_hybrid_2020,2022-04-20T11:35:30.464+02:00,2022-04-20T11:38:12.205+02:00,X2 xDrive25e Plug-In Hybrid 2020,BMW,false,true,,7,16,17,15,18,,,,,,,
219,Mercedes CLA250e,mercedes_cla250e,2022-04-20T11:35:30.465+02:00,2022-04-20T11:38:12.207+02:00,CLA250e,Mercedes,false,true,,7,16,17,15,18,,,,,,,
181,Polestar 2,polestar_2,2022-04-20T11:35:30.405+02:00,2022-04-20T11:38:12.166+02:00,2,Polestar,false,true,,4,7,16,2,17,15,18,,,,,
182,Polestar 1,polestar_1,2022-04-20T11:35:30.407+02:00,2022-04-20T11:38:12.167+02:00,1,Polestar,false,true,,4,7,16,2,17,15,18,,,,,
183,Renault New ZOE Z.E.,renault_new_zoe_z.e.,2022-04-20T11:35:30.409+02:00,2022-04-20T11:38:12.168+02:00,New ZOE Z.E.,Renault,false,true,,7,16,2,17,15,18,,,,,,
184,Kia Niro EV 2020,kia_niro_ev_2020,2022-04-20T11:35:30.411+02:00,2022-04-20T11:38:12.169+02:00,Niro EV 2020,Kia,false,true,,9,7,14,16,2,17,15,18,,,,
185,Hyundai Kona Electric 2020,hyundai_kona_electric_2020,2022-04-20T11:35:30.412+02:00,2022-04-20T11:38:12.170+02:00,Kona Electric 2020,Hyundai,false,true,,7,16,2,17,15,18,,,,,,
186,Hyundai Ioniq Electric 2020,hyundai_ioniq_electric_2020,2022-04-20T11:35:30.414+02:00,2022-04-20T11:38:12.171+02:00,Ioniq Electric 2020,Hyundai,false,true,,7,16,2,17,15,18,,,,,,
187,Hyundai Ioniq Electric 2019,hyundai_ioniq_electric_2019,2022-04-20T11:35:30.415+02:00,2022-04-20T11:38:12.172+02:00,Ioniq Electric 2019,Hyundai,false,true,,4,7,16,2,17,15,18,,,,,
188,Audi Q7 Plug-In Hybrid,audi_q7_plug-in_hybrid,2022-04-20T11:35:30.417+02:00,2022-04-20T11:38:12.172+02:00,Q7 Plug-In Hybrid,Audi,false,true,,4,7,16,17,15,18,,,,,,
197,BMW C-Evolution,bmw_c-evolution,2022-04-20T11:35:30.433+02:00,2022-04-20T11:38:12.181+02:00,C-Evolution,BMW,false,true,,4,7,16,17,15,18,,,,,,
231,Karma Revero,karma_revero,2022-04-20T11:35:30.480+02:00,2022-04-20T11:38:12.220+02:00,Revero,Karma,false,true,,4,7,16,17,15,,,,,,,
232,Fiat New 500,fiat_new_500,2022-04-20T11:35:30.481+02:00,2022-04-20T11:38:12.222+02:00,New 500,Fiat,false,true,,7,16,2,17,18,,,,,,,
233,Lexus UX 300e,lexus_ux_300e,2022-04-20T11:35:30.482+02:00,2022-04-20T11:38:12.223+02:00,UX 300e,Lexus,false,true,,7,3,16,17,15,18,,,,,,
234,Volkswagen e-Lavida,volkswagen_e-lavida,2022-04-20T11:35:30.483+02:00,2022-04-20T11:38:12.225+02:00,e-Lavida,Volkswagen,false,true,,7,16,2,17,18,,,,,,,
235,Volkswagen e-Bora,volkswagen_e-bora,2022-04-20T11:35:30.484+02:00,2022-04-20T11:38:12.226+02:00,e-Bora,Volkswagen,false,true,,18,13,12,17,,,,,,,,
236,Seat Leon e-Hybrid,seat_leon_e-hybrid,2022-04-20T11:35:30.485+02:00,2022-04-20T11:38:12.227+02:00,Leon e-Hybrid,Seat,false,true,,7,16,17,15,18,,,,,,,
237,Seat Leon Sportstourer e-Hybrid,seat_leon_sportstourer_e-hybrid,2022-04-20T11:35:30.486+02:00,2022-04-20T11:38:12.228+02:00,Leon Sportstourer e-Hybrid,Seat,false,true,,18,17,16,7,,,,,,,,
238,Seat Tarraco e-Hybrid,seat_tarraco_e-hybrid,2022-04-20T11:35:30.488+02:00,2022-04-20T11:38:12.229+02:00,Tarraco e-Hybrid,Seat,false,true,,18,17,16,7,,,,,,,,
239,Tata Nexon,tata_nexon,2022-04-20T11:35:30.490+02:00,2022-04-20T11:38:12.230+02:00,Nexon,Tata,false,true,,7,16,2,17,18,,,,,,,
240,Volkswagen ID.4,volkswagen_id.4,2022-04-20T11:35:30.491+02:00,2022-04-20T11:38:12.231+02:00,ID.4,Volkswagen,false,true,,7,16,2,17,15,18,,,,,,
241,Mercedes GLE350 Plug-In Hybrid,mercedes_gle350_plug-in_hybrid,2022-04-20T11:35:30.492+02:00,2022-04-20T11:38:12.232+02:00,GLE350 Plug-In Hybrid,Mercedes,false,true,,18,17,16,7,,,,,,,,
242,Renault Twingo Z.E.,renault_twingo_z.e.,2022-04-20T11:35:30.494+02:00,2022-04-20T11:38:12.233+02:00,Twingo Z.E.,Renault,false,true,,18,17,16,7,,,,,,,,
243,MG Motor MG5 EV,mg_motor_mg5_ev,2022-04-20T11:35:30.495+02:00,2022-04-20T11:38:12.234+02:00,MG5 EV,MG Motor,false,true,,7,16,2,17,18,,,,,,,
244,BMW X3 xDrive30e Plug-In Hybrid 2021,bmw_x3_xdrive30e_plug-in_hybrid_2021,2022-04-20T11:35:30.496+02:00,2022-04-20T11:38:12.235+02:00,X3 xDrive30e Plug-In Hybrid 2021,BMW,false,true,,4,7,16,17,15,18,,,,,,
245,Skoda ENYAQ iV,skoda_enyaq_iv,2022-04-20T11:35:30.497+02:00,2022-04-20T11:38:12.236+02:00,ENYAQ iV,Skoda,false,true,,7,16,2,17,18,,,,,,,
246,Volkswagen Passat Sportscombi GTE Plug-In Hybrid,volkswagen_passat_sportscombi_gte_plug-in_hybrid,2022-04-20T11:35:30.499+02:00,2022-04-20T11:38:12.237+02:00,Passat Sportscombi GTE Plug-In Hybrid,Volkswagen,false,true,,18,17,16,7,,,,,,,,
